# This is the list of all model files in descending order of f1-score
# Duplicate models are removed based on their performance
# Date: 09/13/2018

model_name,f1_score,roc_auc_score,total_actives,predicted_actives,version
classifier_urokinase_type_plasminogen_activator,0.9852216748768473,0.9854368932038835,103,100,py35
classifier_disintegrin_and_metalloproteinase_domain_containing_protein_17,0.9850746268656715,0.9954152772805709,233,236,py27
classifier_bone_morphogenetic_protein_1,0.9848484848484849,0.9995344506517692,65,67,py35
classifier_platelet_activating_factor_acetylhydrolase,0.9848484848484849,0.9850746268656716,67,65,py27
classifier_sphingosine_1_phosphate_receptor_5,0.9846153846153847,0.9848484848484849,33,32,py35
classifier_melanocortin_receptor_4,0.9839080459770115,0.9972570563342004,215,220,py35
classifier_prostaglandin_e2_receptor_ep4_subtype,0.9838709677419354,0.9841269841269842,63,61,py35
classifier_fatty_acid_synthase,0.9837837837837837,0.9942328810669441,92,93,py27
classifier_casein_kinase_ii_subunit_alpha,0.9836065573770492,0.9838709677419355,31,30,py27
classifier_vesicular_acetylcholine_transporter,0.9836065573770492,0.9995881383855025,30,31,py27
classifier_glutaminyl_peptide_cyclotransferase,0.9836065573770492,0.9838709677419355,31,30,py27
classifier_2_acylglycerol_o_acyltransferase_2,0.9836065573770492,0.9838709677419355,31,30,py35
classifier_15_hydroxyprostaglandin_dehydrogenase_nad_,0.983050847457627,0.9833333333333334,30,29,py27
classifier_ribosomal_protein_s6_kinase_beta_1,0.983050847457627,0.999476713762428,58,60,py27
classifier_tyrosine_protein_phosphatase_non_receptor_type_2,0.983050847457627,0.9833333333333334,30,29,py27
classifier_transitional_endoplasmic_reticulum_atpase,0.9824561403508771,0.9827586206896552,29,28,py27
classifier_disintegrin_and_metalloproteinase_domain_containing_protein_10,0.9824561403508771,0.9827586206896552,29,28,py27
classifier_c5a_anaphylatoxin_chemotactic_receptor_1,0.9824561403508771,0.9827586206896552,29,28,py35
classifier_sphingosine_1_phosphate_receptor_1,0.9820359281437127,0.996527375667503,165,169,py35
classifier_maternal_embryonic_leucine_zipper_kinase,0.9818181818181817,0.9923620530247721,137,138,py27
classifier_acetyl_coa_carboxylase_2,0.9816753926701571,0.9820051413881747,389,375,py27
classifier_glucagon,0.9811320754716981,0.9993215739484397,26,27,py35
classifier_cyclin_dependent_kinase_4,0.98,0.9803921568627452,102,98,py27
classifier_e3_ubiquitin_protein_ligase_xiap,0.9797979797979798,0.9801980198019802,101,97,py27
classifier_melatonin_receptor_type_1a,0.979757085020243,0.9915108092905206,123,124,py35
classifier_matrix_metalloproteinase_14,0.979591836734694,0.9862836467298942,74,73,py27
classifier_high_affinity_camp_specific_and_ibmx_insensitive_3_5_cyclic_phosphodiesterase_8b,0.9795918367346939,0.98,25,24,py27
classifier_e3_ubiquitin_protein_ligase_mdm2,0.9792663476874003,0.9870579225842384,315,312,py27
classifier_prostaglandin_e2_receptor_ep3_subtype,0.9790209790209791,0.9794520547945205,73,70,py35
classifier_probable_g_protein_coupled_receptor_88,0.9787234042553191,0.9791666666666667,24,23,py35
classifier_p2y_purinoceptor_12,0.9781021897810218,0.9785714285714286,140,134,py35
classifier_diacylglycerol_o_acyltransferase_1,0.9765625,0.9806546044510281,130,126,py27
classifier_gastrin_cholecystokinin_type_b_receptor,0.976,0.9953080787076677,123,127,py27
classifier_oxytocin_receptor,0.975609756097561,0.9896855270358654,102,103,py35
classifier_cgmp_dependent_3_5_cyclic_phosphodiesterase,0.9748743718592964,0.980053761290728,101,98,py35
classifier_mu_type_opioid_receptor,0.9748110831234257,0.9870037092061716,397,397,py35
classifier_serine_threonine_protein_kinase_pim_3,0.9745762711864406,0.975206611570248,121,115,py27
classifier_melatonin_receptor_type_1b,0.9745454545454545,0.98178961887806,139,136,py35
classifier_neuromedin_k_receptor,0.9743589743589743,0.975,80,76,py35
classifier_free_fatty_acid_receptor_1,0.9743589743589743,0.975,40,38,py35
classifier_endothelin_1_receptor,0.9738562091503268,0.9745222929936306,157,149,py35
